SOCD,aspect,AWC,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,clay,dem,dtr,fwi,GPP,gppmax,landuse85,lstday,lstnight,ndvimax,ndvimean,ndvimin,ndvistd,ph,roughness,samt,sand,silt,slope,srad,tdchange,tpi,tri,twi,vapr,wind,WRB2
0.966306369,3.580924511,28,25.95416641,26.46666718,25.63333321,1988,311,7,69.16477966,901,58,275,901,11.07499981,67.53048706,36.95561981,34.29999924,17.89999962,16.39999962,25.63333321,25.91666603,23,172,12.41191292,1.372426271,8.984550476,6.930600166,3,15012,14810,0.797500014,0.564680934,0.819973707,0.298247665,5,91,311.3999939,51,26,2.238371611,14268.25,1111,-16.375,31.125,10.14972496,2.674166679,0,5
0.999740036,5.987070084,163,26.56666565,27,26.03333282,2507,294,110,30.95397949,843,368,586,469,8.133333206,80.52805328,39.09972,31.5,21.39999962,10.10000038,26.58333206,26.41666603,31,70,12.9405489,0.1332196,8.479733467,8.630200386,33,14996,14755,0.845578969,0.506537318,0.845631659,0.34563911,6.099999905,35,317.2000122,37,32,0.883497953,13448,5555,0.875,12.125,11.07976913,2.907500029,1.049999952,4
1.002387439,6.126583576,137,24.60000038,25.09999847,23.85000038,2055,360,11,71.49815369,969,62,293,116,12.94999981,69.62365723,55.06193924,33.79999924,15.19999981,18.59999847,24.78333282,24.26666641,23,189,12.90221119,5.246366024,0,6.149799824,15,15218,14722,0.770263195,0.44817546,0.547131598,0.286451876,5.099999905,16,293.8999939,59,18,0.413282692,14187.41699,3333,5.125,6.875,13.43892479,2.591666698,1.225000024,1
1.024172426,1.570796371,168,25.375,25.86666679,24.61666679,2191,295,57,43.2952919,796,225,667,225,10.08333302,79.39633179,52.50543594,31.39999962,18.70000076,12.69999886,25.58333397,24.61666679,15,233,10.31958389,0.778234959,8.625566483,8.762000084,3,15047,14716,0.840710521,0.521800458,0.847500026,0.342285544,6.300000191,24,304.8999939,67,18,0.300800085,13881.41699,1111,-0.125,6.125,12.15728283,2.748333216,0.75,33
1.037412825,2.665393353,155,24.99583435,25.61666679,24.08333397,1746,235,29,54.53105164,669,125,591,125,10.77499962,79.22795105,63.5487709,31.29999924,17.70000076,13.59999847,25.53333282,24.08333397,29,355,10.70833397,3.024116993,9.112066269,8.631400108,3,14992,14695,0.850578964,0.622338831,0.836078942,0.252483815,6.400000095,44,300.3999939,40,31,0.765515387,14054.91699,1111,5.125,12.125,11.22312832,2.535000086,0.841666639,6
1.042436288,1.570796371,83,26.86249924,28.63333321,24.20000076,1379,242,25,66.99897003,656,91,465,91,12.00833321,65.9798584,188.969986,34.79999924,16.60000038,18.19999886,28.11666679,24.20000076,6,102,14.45671177,21.79919052,3.797083378,2.039200068,11,15212,14755,0.684289515,0.406029612,0.548684239,0.259302706,5.699999809,1,322.6000061,84,10,0,15199.5,2111,-0.5,0.5,12.239942,2.490833282,1.983333349,9
1.081596363,5.890127182,119,26.03750038,26.58333397,25.35000038,2008,290,25,60.21128464,838,103,477,174,10.9416666,74.4331131,49.5491333,33.09999847,18.39999962,14.69999886,26.09999847,25.43333244,21,113,11.74522972,3.842460155,8.493466377,7.110199928,3,15093,14742,0.801631629,0.507122815,0.785736859,0.315889925,4.900000095,15,311.7999878,52,27,0.317878604,13900.16699,1111,3.25,4.5,11.75548458,2.804166794,1.066666722,20
1.09291017,3.605240345,157,27.53333282,28.71666718,26.45000076,2707,463,23,65.81006622,1239,149,173,1239,9.350000381,75.40322876,88.53179169,34.79999924,22.39999962,12.39999962,26.45000076,28.35000038,36,94,12.24729729,1.758801937,7.378666878,7.308400154,6,15130,14763,0.57544744,0.426267564,0.62384212,0.200245157,5.099999905,10,330.2000122,41,23,0.032029312,16247.75,1111,-2.375,3.125,14.74365997,2.841666698,1.299999952,3
1.094553226,6.004885674,137,26.35000038,27.04999924,25.76666641,2025,347,68,53.90616226,852,282,383,287,7.399999619,79.56989288,52.61349487,31.39999962,22.10000038,9.299999237,26.35000038,26.04999924,23,54,13.96291924,0.808320463,7.463033199,7.965799809,6,14874,14739,0.823105335,0.58703512,0.805184245,0.248626634,5.099999905,12,316,59,18,0.104279779,17940.58398,1111,-0.875,3.375,15.00841808,2.787499905,1.924999952,1
1.150451968,2.042573929,156,25.52499962,26.91666603,23.33333397,1845,281,58,56.73031998,807,183,554,183,10.1833334,66.55773926,155.6292114,32.5,17.20000076,15.29999924,26.75,23.33333397,29,269,11.95473003,9.353588104,9.815567017,9.406999588,3,15022,14683,0.853078961,0.54902631,0.808078945,0.319693267,5,17,306.5,42,29,0.39396739,14857.08301,1111,2.125,5.375,11.88745403,2.458333254,2.308333397,6
